BikeID,Duration,Start date,End date,Start station number,,End station number,End station,Bike number,Member type
528805,378,01/01/2018 09:55,01/01/2018 10:01,31116,California St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W00661,Member
528806,662,01/01/2018 09:55,01/01/2018 10:06,31229,New Hampshire Ave & T St NW,31215,Georgetown Harbor / 30th St NW,W23286,Member
528807,212,01/01/2018 09:57,01/01/2018 10:01,31400,Georgia & New Hampshire Ave NW,31602,Park Rd & Holmead Pl NW,W22563,Member
528808,193,01/01/2018 09:58,01/01/2018 10:02,31278,18th & R St NW,31201,15th & P St NW,W20371,Member
528809,399,01/01/2018 09:59,01/01/2018 10:06,31105,14th & Harvard St NW,31110,20th St & Florida Ave NW,W00847,Member
528810,254,01/01/2018 10:01,01/01/2018 10:05,31281,8th & O St NW,31519,1st & O St NW,W01083,Member
528811,1126,01/01/2018 10:02,01/01/2018 10:21,31405,Georgia Ave & Emerson St NW,31213,17th & K St NW,W21529,Member
528812,435,01/01/2018 10:02,01/01/2018 10:09,31231,14th & D St NW / Ronald Reagan Building,31266,11th & M St NW,W22820,Member
528813,474,01/01/2018 10:03,01/01/2018 10:11,31110,20th St & Florida Ave NW,31105,14th & Harvard St NW,W21501,Member
528814,662,01/01/2018 10:03,01/01/2018 10:14,31903,Royal & Wilkes St,31048,King St Metro South,W23279,Member
528815,1459,01/01/2018 10:04,01/01/2018 10:28,31646,Maine Ave & 9th St SW,31624,North Capitol St & F St NW,W22415,Member
528816,301,01/01/2018 10:05,01/01/2018 10:10,31266,11th & M St NW,31201,15th & P St NW,W21642,Member
528817,714,01/01/2018 10:06,01/01/2018 10:18,31120,10th & Florida Ave NW,31233,17th & K St NW / Farragut Square,W20952,Member
528818,2071,01/01/2018 10:08,01/01/2018 10:43,31223,Convention Center / 7th & M St NW,31230,Metro Center / 12th & G St NW,W23102,Member
528819,275,01/01/2018 10:15,01/01/2018 10:19,31281,8th & O St NW,31228,8th & H St NW,W01098,Member
528820,462,01/01/2018 10:17,01/01/2018 10:24,31107,Lamont & Mt Pleasant NW,31214,17th & Corcoran St NW,W21523,Member
528821,1597,01/01/2018 10:17,01/01/2018 10:44,31902,Wilson Blvd & N Illinois St,31072,31st & Woodrow St S,W22122,Member
528822,1624,01/01/2018 10:17,01/01/2018 10:44,31260,23rd & E St NW,31077,Iwo Jima Memorial/N Meade & 14th St N,W22148,Member
528823,239,01/01/2018 10:17,01/01/2018 10:21,31229,New Hampshire Ave & T St NW,31268,12th & U St NW,W21475,Member
